FeatureType,FeatureLabel,FeatureID,OutputItem,Actual,Nominal,Deviation,UpperTol,LowerTol,PassFail
Distance,니들높이[1,4],19,SC,0.7761,,,,,
Distance,니들높이[1,5],29,SC,0.7760,,,,,
Distance,니들높이[1,6],39,SC,0.7761,,,,,
Distance,니들높이[1,7],49,SC,0.7839,,,,,
Distance,니들높이[1,8],59,SC,0.7754,,,,,
Distance,니들높이[2,3],69,SC,0.7733,,,,,
Distance,니들높이[2,4],79,SC,0.7766,,,,,
Distance,니들높이[2,5],89,SC,0.7792,,,,,
Distance,니들높이[2,6],99,SC,0.7763,,,,,
Distance,니들높이[2,7],109,SC,0.7746,,,,,
Distance,니들높이[2,8],119,SC,0.7752,,,,,
Distance,니들높이[2,9],129,SC,0.7734,,,,,
Distance,니들높이[3,2],139,SC,0.7723,,,,,
Distance,니들높이[3,3],149,SC,0.7722,,,,,
Distance,니들높이[3,4],159,SC,0.7783,,,,,
Distance,니들높이[3,5],169,SC,0.7776,,,,,
Distance,니들높이[3,6],179,SC,0.7741,,,,,
Distance,니들높이[3,7],189,SC,0.7734,,,,,
Distance,니들높이[3,8],199,SC,0.7742,,,,,
Distance,니들높이[3,9],209,SC,0.7704,,,,,
Distance,니들높이[3,10],219,SC,0.7748,,,,,
Distance,니들높이[4,1],229,SC,0.7846,,,,,
Distance,니들높이[4,2],239,SC,0.7563,,,,,
Distance,니들높이[4,3],249,SC,0.7799,,,,,
Distance,니들높이[4,4],259,SC,0.7762,,,,,
Distance,니들높이[4,5],269,SC,0.7723,,,,,
Distance,니들높이[4,6],279,SC,0.7737,,,,,
Distance,니들높이[4,7],289,SC,0.7719,,,,,
Distance,니들높이[4,8],299,SC,0.7733,,,,,
Distance,니들높이[4,9],309,SC,0.7564,,,,,
Distance,니들높이[4,10],319,SC,0.7571,,,,,
Distance,니들높이[4,11],329,SC,0.7590,,,,,
Distance,니들높이[5,1],339,SC,0.7565,,,,,
Distance,니들높이[5,2],349,SC,0.7525,,,,,
Distance,니들높이[5,3],359,SC,0.7542,,,,,
Distance,니들높이[5,4],369,SC,0.7718,,,,,
Distance,니들높이[5,5],379,SC,0.7710,,,,,
Distance,니들높이[5,6],389,SC,0.7687,,,,,
Distance,니들높이[5,7],399,SC,0.7681,,,,,
Distance,니들높이[5,8],409,SC,0.7674,,,,,
Distance,니들높이[5,9],419,SC,0.7593,,,,,
Distance,니들높이[5,10],429,SC,0.7585,,,,,
Distance,니들높이[5,11],439,SC,0.7600,,,,,
Distance,니들높이[6,1],449,SC,0.7589,,,,,
Distance,니들높이[6,2],459,SC,0.7587,,,,,
Distance,니들높이[6,3],469,SC,0.7562,,,,,
Distance,니들높이[6,4],479,SC,0.7672,,,,,
Distance,니들높이[6,5],489,SC,0.7670,,,,,
Distance,니들높이[6,6],499,SC,0.7684,,,,,
Distance,니들높이[6,7],509,SC,0.7643,,,,,
Distance,니들높이[6,8],519,SC,0.7887,,,,,
Distance,니들높이[6,9],529,SC,0.7608,,,,,
Distance,니들높이[6,10],539,SC,0.7587,,,,,
Distance,니들높이[6,11],549,SC,0.7598,,,,,
Distance,니들높이[7,1],559,SC,0.7626,,,,,
Distance,니들높이[7,2],569,SC,0.7621,,,,,
Distance,니들높이[7,3],579,SC,0.7601,,,,,
Distance,니들높이[7,4],589,SC,0.7680,,,,,
Distance,니들높이[7,5],599,SC,0.7699,,,,,
Distance,니들높이[7,6],609,SC,0.7709,,,,,
Distance,니들높이[7,7],619,SC,0.7695,,,,,
Distance,니들높이[7,8],629,SC,0.7701,,,,,
Distance,니들높이[7,9],639,SC,0.7613,,,,,
Distance,니들높이[7,10],649,SC,0.7618,,,,,
Distance,니들높이[7,11],659,SC,0.7620,,,,,
Distance,니들높이[8,1],669,SC,0.7586,,,,,
Distance,니들높이[8,2],679,SC,0.7637,,,,,
Distance,니들높이[8,3],689,SC,0.7603,,,,,
Distance,니들높이[8,4],699,SC,0.7857,,,,,
Distance,니들높이[8,5],709,SC,0.7711,,,,,
Distance,니들높이[8,6],719,SC,0.7760,,,,,
Distance,니들높이[8,7],729,SC,0.7722,,,,,
Distance,니들높이[8,8],739,SC,0.7726,,,,,
Distance,니들높이[8,9],749,SC,0.7656,,,,,
Distance,니들높이[8,10],759,SC,0.7657,,,,,
Distance,니들높이[8,11],769,SC,0.7576,,,,,
Distance,니들높이[9,2],779,SC,0.7758,,,,,
Distance,니들높이[9,3],789,SC,0.7782,,,,,
Distance,니들높이[9,4],799,SC,0.7713,,,,,
Distance,니들높이[9,5],809,SC,0.7725,,,,,
Distance,니들높이[9,6],819,SC,0.7743,,,,,
Distance,니들높이[9,7],829,SC,0.7746,,,,,
Distance,니들높이[9,8],839,SC,0.7725,,,,,
Distance,니들높이[9,9],849,SC,0.7752,,,,,
Distance,니들높이[9,10],859,SC,0.7771,,,,,
Distance,니들높이[10,3],869,SC,0.7815,,,,,
Distance,니들높이[10,4],879,SC,0.7728,,,,,
Distance,니들높이[10,5],889,SC,0.7739,,,,,
Distance,니들높이[10,6],899,SC,0.7746,,,,,
Distance,니들높이[10,7],909,SC,0.7730,,,,,
Distance,니들높이[10,8],919,SC,0.7693,,,,,
Distance,니들높이[10,9],929,SC,0.7804,,,,,
Distance,니들높이[11,4],939,SC,0.7685,,,,,
Distance,니들높이[11,5],949,SC,0.7646,,,,,
Distance,니들높이[11,6],959,SC,0.7649,,,,,
Distance,니들높이[11,7],969,SC,0.7653,,,,,
Distance,니들높이[11,8],979,SC,0.7619,,,,,
